"Year";"Month";"Petrol_Delhi";"LPG_Delhi";"Petrol_Mumbai";"LPG_Mumbai";"Petrol_Chennai";"LPG_Chennai";"Petrol_Kolkata";"LPG_Kolkata"
2017;"Jun";64.2;1021;75.44;1038;66.67;1014;67.02;1051
2017;"Jul";64.02;1021;73.96;1038;66.46;1014;67.28;1051
2017;"Aug";67.77;950;76.91;996;70.21;949;70.61;990
2017;"Sep";70.21;1241;79.32;1269;72.78;1234;72.96;1270
2017;"Oct";68.74;1134;76.51;1168;71.23;1132;71.52;1169
2017;"Nov";69.53;1081;76.66;1116;72.07;1082;72.29;1118
2017;"Dec";69.37;981;77.04;1011;71.89;981;72.13;1018
2018;"Jan";71.38;929;79.26;957;74.01;929;74.1;970
2018;"Feb";72.52;906;80.39;933;75.21;905;75.23;946
2018;"Mar";72.44;923;80.31;950;75.13;924;75.18;966
2018;"Apr";74.16;920;82.01;947;76.94;922;76.87;965
2018;"May";75.92;901;83.76;927;78.79;903;78.6;945
2018;"Jun";76.6;882;84.35;904;79.51;881;79.27;924
2018;"Jul";76.3;865;83.71;887;79.22;864;79.05;905
2018;"Aug";77.33;752;84.76;771;80.34;750;80.27;791
2018;"Sep";81.38;601;88.76;614;84.59;607;83.61;635
2018;"Oct";81.92;709;87.64;726;85.15;705;83.76;746
2018;"Nov";76.77;605;82.29;619;79.73;600;78.71;641
2018;"Dec";70.47;610;76.08;624;73.12;606;72.58;646
2019;"Jan";70.02;621;75.66;632;72.67;614;72.13;655
2019;"Feb";70.83;616;76.47;628;73.53;609;72.94;649
2019;"Mar";72.54;627;78.16;638;75.34;620;74.62;662
2019;"Apr";72.93;609;78.5;624;75.7;628;74.95;644
2019;"May";71.94;585;77.55;599;74.68;604;74.0;619
2019;"Jun";70.42;560;76.11;573;73.15;577;72.67;593
2019;"Jul";72.71;518;78.33;527;75.51;532;75.08;548
2019;"Aug";72.1;545;77.76;555;74.89;560;74.8;575
2019;"Sep";72.71;607;78.39;619;75.56;622;75.42;637
2019;"Oct";73.46;532;79.07;531;76.29;543;76.1;558
2019;"Nov";73.69;658;79.35;671;76.59;672;76.38;687
2019;"Dec";74.81;575;80.47;586;77.78;587;77.48;602
2020;"Jan";75.01;514;80.61;523;77.93;526;77.61;541
2020;"Feb";72.23;510;77.89;517;75.03;521;74.88;537
2020;"Mar";70.15;528;75.86;530;72.87;538;72.84;555
2020;"Apr";69.59;549;76.31;547;72.28;560;73.3;577
2020;"May";71.04;538;76.31;538;75.22;551;73.3;566
2020;"Jun";76.1;487;83.01;487;79.82;500;77.95;514
2020;"Jul";80.43;467;87.19;468;83.63;478;82.1;491
2020;"Aug";80.95;491;87.66;491;84.07;500;82.52;513
2020;"Sep";81.56;530;88.22;531;84.58;539;83.07;551
2020;"Oct";81.06;584;87.74;587;84.14;594;82.59;606
